,ticker,links,article_text,publisher
0,XOM,https://pulse2.com/xom-stock-69-target-from-bmo-capital/,,pulse 2.0
1,XOM,https://www.fool.com/investing/2021/07/19/why-energy-stocks-like-exxonmobil-phillips-66-and/,,the motley fool
2,XOM,https://finance.yahoo.com/news/exxon-mobil-xom-stock-sinks-214509570.html,,yahoo finance
3,XOM,https://www.marketwatch.com/story/exxon-mobil-corp-stock-rises-wednesday-outperforms-market-01626903084-c6dd31484cb5,,marketwatch
4,XOM,https://investorplace.com/2021/07/despite-the-activists-exxonmobil-will-be-just-fine/,,investorplace
