,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
83,andres_magana,"Si DIOS esta conmigo, quien contra mi¿ | Fútbol | Electrical Engineer | Cruz Azul | SnapChat: neneriito | FIFA: Amag409 {PlayStation}",Texas,766,616,32822,35,"GOOD LORD...Earnings Season upon us

This week notables: $NFLX $TSLA 
Following week: $MSFT $GOOG $AMZN $AAPL $TWTR $FB OH MY. PLACE YOUR BETS. https://t.co/inKwmbCLps",[]
84,InversionesInt5,Simplificando el mundo de las inversiones y las finanzas personales.,,578,173,328,153,"Returns, Last 10 Years..
Bitcoin $BTC: +820,509%
Tesla $TSLA: +14,628%
NVIDIA $NVDA: +6,207%
Netflix $NFLX: +2,190%
Amazon $AMZN: +1,491%
Domino's $DPZ: 1,105%
AMD $AMD: +1,075%
Microsoft $MSFT: +1,011%
Apple $AAPL: +768%
Google $GOOGL: +678%
S&amp;P 500 $SPY: +282%
Gold $GLD: +13%",[]
85,dohmanbob,"Business Valuation Analyst.  Tesla stockholder since 2018, Model X, and two M3's. Cybertruck ordered","Dallas, TX",706,816,9674,1,Picked up this beauty today after a nine-month wait. Tesla’s delivery was flawless. Kudos to @elonmusk and the wonderful @tesla team! Sharing this happy update with my top 5 favorite #Tesla fans on Twitter @Kristennetten @TSLAFanMtl @GinoG01328427 @jasondebolt @bburnworth $TSLA https://t.co/SnBQbZq6pQ,[]
86,_Scholarkid_,,,669,59,940,1,@elonmusk &amp; #TSLA &amp; @SpaceX ive been running a shadow-simulation like candy-crush with certain specs for @Tesla &amp; can #TSLA all take a nap…maybe drink some tequila or grill a steak. Listen @ year 2025 we are on #MARS &amp; with my sim still very very very very green🚦,"['TSLA', 'TSLA', 'MARS']"
87,shibkali332211,Best discord group over 80k members and even have their own app join here.https://t.co/5ngT7wpODS,,12,32,967,0,"Best fomc ever thanks @OnlyOTrades 

$SPY $SPX $QQQ $AAPL $TSLA https://t.co/CidSKEWIzY",[]
88,ByeonChansoo,A curious architect. DMs are open for any Tesla related questions! Don't forget to use a referral code when ordering a new #Tesla Solar roof!,"Toronto, Ontario",69,2048,71960,0,"*Breaking* @Tesla becomes the most subscribed car brand on @YouTube 

@elonmusk @garyblack00 @SawyerMerritt @WholeMarsBlog @28delayslater $TSLA https://t.co/y3j7fyE3me",[]
89,moonguy__,"i love photography and I love the moon.  always willing to learn. spread love, spread positivity and always keeping an open mind. 🦧💎🙌🏽🚀","Florida, USA",320,92,1326,2,Oh god it’s gonna happen.  @jack @elonmusk @ryancohen @CEOAdam &amp; retail investors combined form Voltron. It’s all happening.#TWTR #TSLA #AMC #GME #HeartOfAnApe https://t.co/77Xvq8bq0F,[]
90,rj_tsla,Data Engineer,"Austin, TX",18,6,1087,9,"This system can power 136,000 homes for hours.",[]
91,InsiderFinancex,"Data-Driven Trading Tools Designed To Increase Your Success 🏆
💰 Order Flow
📈 Technical Analysis 
🥇 Trade Ideas
🚀 Crypto Tools
📊 Powerful Visuals",United States,2881,5600,5541,0,"Top tickers from the Smart Money Sweep Activity Weekly Recap courtesy of real-time dashboard from 🔥https://t.co/tjg4ZoUuW5🔥 (link in profile):

1. $AAPL 255.4K contracts
2. $TWTR 197.4K
3. $TSLA 146.7K
4. $NVDA 130.7K
5. $F 84.2K

#daytrader #trading #daytrading https://t.co/COVaZXZBAo","['daytrader', 'trading', 'daytrading']"
92,passthebeano,"Yes, I did have a burrito for lunch. Why do you ask?",,1408,2732,53327,14,"The Alliance for American Manufacturing blasted this latest move by Tesla. 

“I'll be blunt: Any company doing business in Xinjiang is complicit in the cultural genocide taking place there. But Tesla's actions are especially despicable,” AAM President Scott Paul.""

$TSLA $TSLAQ https://t.co/GiDisHt1vP",[]
93,rj_tsla,Data Engineer,"Austin, TX",18,6,1087,85,"“You own the company. That's right -- you, the stockholder. And you are all being royally screwed over by these, these bureaucrats, with their steak lunches, their hunting and fishing trips, their corporate jets and golden parachutes.” https://t.co/NwktGecLf5",[]
94,Swantee,"""Respect money and be indifferent towards it.""

""A stock that doesn't pay dividend is a speculation. It is not an investment.""",,208,35,3651,149,I give you the hypocrisy of the main stream media. $twtr $tsla https://t.co/gTuixGplPD,[]
95,sonokocentral,"left of center.
they/them.
(header image: detail of 'Blue Wave' by Inka Essenheigh)",northern hemisphere,1511,1015,373993,9,"...order was to give the parties time to request specific redactions and Musk jumped the gun, which it appears he did, then why should those requests be granted? $TSLA",[]
96,Birdie__Chirps,"self-sustained retail investor, SaaS tech background // $TSLA 🌍 Sustainable Investing 🔋 Vegan 🌱",,638,302,1580,0,2 birds one stone! $tsla https://t.co/bnbehUQlBd,[]
97,jytesla,Tesla long term investor｜EV batteries engineer｜YouTuber｜Cybertruck otw｜🔋🚗☀️🤖️🚀🌕🌎My YouTube channel👇,,53,5,363,12,@SawyerMerritt This seems like a dumb move by $TSLA.  It’s not the same as $AAPL not including chargers with iPhone purchases since most people have chargers from previous iPhones. Not true of first time EV purchasers.,[]
98,sonokocentral,"left of center.
they/them.
(header image: detail of 'Blue Wave' by Inka Essenheigh)",northern hemisphere,1511,1015,373993,16,"Even if Musk succeeded in convincing Judge Chen that he has not met the standard for technical civil contempt of court, Chen would be well within his rights to simply ignore all of Musk's and $TSLA's redaction requests. If the reason for sealing the... https://t.co/pzXITbFjok",[]
99,AnnaSky92974146,Live free. Star gaze. Laugh hard. Invest well.,"Austin, TX",228,237,15150,11,Who has Elon Musk’s attention? Here’s the group the $TSLA boss talks to the most on Twitter. https://t.co/Hiyf2OUvPz,[]
