,Datetime,Tweet Id,Text,Username
28,2021-07-21 14:22:56+00:00,1417852599622004736,"ZOMATO has advanced it’s listing date to 23rd July, 2 days before the pre-disclosed listing date.
 Comment down who else have applied and how many lots have you applied ? 
#Breaking #Zomato #StockMarket #stocks #Nifty #Sensex #Ipo #StocksToWatch #StocksToBuy #fooddelivery #NEWS",tradeindiaa
29,2021-07-21 14:01:10+00:00,1417847122049654787,"Tomorrow watch out 
#havells💡 
#polycab 
#JUBLFOOD 🍕
Possible 
🚀🚀🚀

#investing #Investment #investors #invest #Nifty #StocksToWatch #StockMarket #StocksInFocus 

Views are personal.Not buying or selling recommendations",InvestmentHope1
30,2021-07-21 14:00:39+00:00,1417846990138839042,"When nifty close yesterday Dow was around 34k
Currently around 34700

Can we expect fireworks tomorrow on Nifty? Also Expiry?

#nifty
#dowjones",urvish_shah2012
31,2021-07-21 13:57:53+00:00,1417846293410377728,"Big Breaking Now 🇮🇳

SC to pronounce judgment tomorrow on Vodafone Idea, Airtel plea seeking recalculation AGR dues. 

#Nifty @VodaIdea_NEWS @airtelindia",BigBreakingNow
32,2021-07-21 13:56:13+00:00,1417845873191493641,#nifty open tomorrow,kkktwits
33,2021-07-21 13:55:24+00:00,1417845670237585422,"Looks like sgx has gone mad..

Not reacting at all to Dow 800 points rally in 2 days.

# Expexting gap up opening tomorrow
# This month bank nifty 36k plus
#Nifty 16kplus",LTEwithSJ
34,2021-07-21 13:45:54+00:00,1417843277420654597,"#Operator , #ICICIPRULI said that total claims on a/c of #COVID19 for q1 fy22 were Rs. 1119 crores As against Rs. 354 crore in FY2021.

#Nifty #Markets Icici Pru Life",_kartikshah
35,2021-07-21 13:45:09+00:00,1417843091684302849,"#Asianpaints 
MFs reduced their holding last quarter
QoQ margin and net profit reduced
Declining revenue &amp; profit from 2 qtrs
Ist qtr FY22 below estimates
Don't follow the crowd &amp; get trapped at high. Its Hype &amp; euphoria may cool off
#StockMarket #trading #investing #Nifty #FnO",SLPandhare
36,2021-07-21 13:37:10+00:00,1417841078586142727,C day for #vi (#vodafoneidea) on jul 22 as SC may announce verdict relating to re computation of #agr dues? #Nifty,theAK75show
37,2021-07-21 13:29:57+00:00,1417839263689822212,"🏡Indiabulls Housing Finance in focus 🏡

Share Holding Pattern Update 👇

As of June 2021
👉Rakesh Jhunjhunwala holds 2.17% stake

🚨His name didn’t appear in the 1% holding as per March 2021 filling🚨

#StockMarket #nifty50 #Nifty",Nigel__DSouza
38,2021-07-21 13:21:32+00:00,1417837147390763009,"Also keep a close watch of upcoming #IPOs in this FY ..

If those perform well, then few of them may be included in #NIFTY after few years.

Fingers crossed 🤞",iBhoopendra
39,2021-07-21 12:58:16+00:00,1417831292452827140,"Do you guys really want #friday quick 5 stocks this Friday? 
#nifty #BREAKOUTSTOCKS",Hardik0806
